City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather description,Rain,Snow
0,Ketchikan,US,2020-02-24 09:39:17,55.34,-131.65,33.8,92,75,3.36,broken clouds,0.0,0.0
1,Aklavik,CA,2020-02-24 09:39:17,68.22,-135.01,-9.4,76,40,3.71,light snow,0.0,0.0
2,Sokoni,TZ,2020-02-24 09:39:17,-6.43,39.55,89.6,70,75,10.29,broken clouds,0.0,0.0
3,Ushuaia,AR,2020-02-24 09:35:03,-54.8,-68.3,41.0,86,90,14.99,light intensity drizzle,0.0,0.0
4,Pevek,RU,2020-02-24 09:39:17,69.7,170.31,-21.35,93,0,8.01,clear sky,0.0,0.0
5,Castro,BR,2020-02-24 09:39:18,-24.79,-50.01,56.34,95,98,5.79,overcast clouds,0.0,0.0
6,Ilulissat,GL,2020-02-24 09:39:18,69.22,-51.1,3.2,71,97,3.36,overcast clouds,0.0,0.0
7,Katobu,ID,2020-02-24 09:39:18,-4.94,122.53,82.58,89,81,2.75,moderate rain,3.06,0.0
8,Thompson,CA,2020-02-24 09:35:16,55.74,-97.86,-0.4,77,40,5.82,scattered clouds,0.0,0.0
9,Nanortalik,GL,2020-02-24 09:39:19,60.14,-45.24,23.79,71,82,10.38,broken clouds,0.0,0.0
10,Laguna,US,2020-02-24 09:39:19,38.42,-121.42,52.0,87,1,2.93,clear sky,0.0,0.0
11,Nago,JP,2020-02-24 09:39:19,26.59,127.98,68.0,56,20,10.29,few clouds,0.0,0.0
12,Hilo,US,2020-02-24 09:38:17,19.73,-155.09,68.0,82,1,3.36,clear sky,0.0,0.0
13,Cristalina,BR,2020-02-24 09:39:20,-16.77,-47.61,67.06,98,100,4.36,overcast clouds,0.0,0.0
14,Kamaishi,JP,2020-02-24 09:39:20,39.27,141.88,42.8,81,75,4.7,light intensity shower rain,0.0,0.0
15,Saskylakh,RU,2020-02-24 09:39:20,71.92,114.08,15.13,93,100,9.44,light snow,0.0,0.19
16,Saint-Philippe,RE,2020-02-24 09:39:20,-21.36,55.77,86.0,66,14,9.17,few clouds,0.0,0.0
17,Rikitea,PF,2020-02-24 09:39:21,-23.12,-134.97,79.21,72,0,7.92,light rain,0.44,0.0
18,Mar Del Plata,AR,2020-02-24 09:39:21,-38.0,-57.56,64.0,93,20,10.29,few clouds,0.0,0.0
19,Cabo San Lucas,MX,2020-02-24 09:37:29,22.89,-109.91,63.0,73,11,5.99,few clouds,0.0,0.0
20,Albany,US,2020-02-24 09:34:52,42.6,-73.97,35.6,47,75,3.36,broken clouds,0.0,0.0
21,Fortuna,US,2020-02-24 09:39:22,40.6,-124.16,43.0,86,1,3.29,clear sky,0.0,0.0
22,Hambantota,LK,2020-02-24 09:39:22,6.12,81.12,91.4,63,40,17.22,scattered clouds,0.0,0.0
23,Avarua,CK,2020-02-24 09:39:22,-21.21,-159.78,77.0,100,100,2.24,overcast clouds,0.0,0.0
24,Punta Arenas,CL,2020-02-24 09:39:22,-53.15,-70.92,44.6,75,75,14.99,broken clouds,0.0,0.0
25,Alcudia,ES,2020-02-24 09:39:23,39.85,3.12,63.0,76,0,2.24,clear sky,0.0,0.0
26,Iqaluit,CA,2020-02-24 09:37:16,63.75,-68.51,-25.01,67,75,4.47,broken clouds,0.0,0.0
27,Hailar,CN,2020-02-24 09:39:23,49.2,119.7,6.85,88,0,3.67,clear sky,0.0,0.0
28,Wanganui,NZ,2020-02-24 09:39:23,-39.93,175.05,60.01,71,23,1.01,few clouds,0.0,0.0
29,Hobart,AU,2020-02-24 09:35:33,-42.88,147.33,66.2,68,75,12.75,broken clouds,0.0,0.0
30,Shimoda,JP,2020-02-24 09:39:24,34.67,138.95,52.0,55,0,4.0,clear sky,0.0,0.0
31,Hailun,CN,2020-02-24 09:39:24,47.45,126.93,20.93,90,100,8.05,light snow,0.0,0.13
32,Barrow,US,2020-02-24 09:39:24,71.29,-156.79,-18.4,82,20,14.99,few clouds,0.0,0.0
33,New Norfolk,AU,2020-02-24 09:39:24,-42.78,147.06,66.2,68,75,12.75,broken clouds,0.0,0.0
34,Caravelas,BR,2020-02-24 09:39:24,-17.71,-39.25,79.25,84,82,10.76,light rain,2.13,0.0
35,Ostrovnoy,RU,2020-02-24 09:39:25,68.05,39.51,23.22,91,100,4.85,overcast clouds,0.0,0.0
36,Victoria,HK,2020-02-24 09:39:25,22.29,114.16,75.0,68,40,12.75,scattered clouds,0.0,0.0
37,Anadyr,RU,2020-02-24 09:39:25,64.75,177.48,-11.2,76,60,6.71,broken clouds,0.0,0.0
