City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather description
0,New Norfolk,AU,2020-02-24 01:17:04,-42.78,147.06,71.01,59,75,4.7,broken clouds
1,Vaini,TO,2020-02-24 01:19:38,-21.2,-175.2,84.2,79,40,10.29,scattered clouds
2,Ambon,ID,2020-02-24 01:25:33,-3.7,128.18,89.6,55,20,12.75,few clouds
3,Mahebourg,MU,2020-02-24 01:19:48,-20.41,57.7,73.99,94,20,3.36,few clouds
4,Vostok,RU,2020-02-24 01:20:58,46.49,135.88,15.57,87,100,1.95,overcast clouds
5,Zhengjiatun,CN,2020-02-24 01:25:33,43.51,123.51,25.92,58,17,3.06,few clouds
6,Castro,BR,2020-02-24 01:19:05,-24.79,-50.01,60.91,84,89,8.34,overcast clouds
7,Nikolskoye,RU,2020-02-24 01:18:38,59.7,30.79,35.6,93,90,11.18,light intensity shower rain
8,Severo-Kurilsk,RU,2020-02-24 01:20:15,50.68,156.12,26.06,97,100,38.43,snow
9,Blagoyevo,RU,2020-02-24 01:25:34,63.37,47.92,27.75,95,100,12.97,light snow
10,East London,ZA,2020-02-24 01:18:48,-33.02,27.91,65.5,62,80,0.63,broken clouds
11,Hasaki,JP,2020-02-24 01:19:57,35.73,140.83,54.0,37,20,10.29,few clouds
12,Iqaluit,CA,2020-02-24 01:20:56,63.75,-68.51,-27.0,67,20,9.17,few clouds
13,Zhanaozen,KZ,2020-02-24 01:25:35,43.3,52.8,43.47,98,98,5.44,overcast clouds
14,Mataura,NZ,2020-02-24 01:19:43,-46.19,168.86,67.1,62,82,1.19,broken clouds
15,Palanga,LT,2020-02-24 01:25:36,55.92,21.07,41.0,93,53,8.05,broken clouds
16,Shu,KZ,2020-02-24 01:22:47,43.6,73.76,33.64,88,100,0.29,overcast clouds
17,Along,IN,2020-02-24 01:20:34,28.17,94.77,50.97,92,3,4.34,light rain
18,Butaritari,KI,2020-02-24 01:19:52,3.07,172.79,85.03,76,68,16.37,moderate rain
19,Nichinan,JP,2020-02-24 01:25:37,31.6,131.37,55.4,37,0,6.93,clear sky
20,Ushuaia,AR,2020-02-24 01:17:02,-54.8,-68.3,44.6,70,40,24.16,shower rain
21,Kattivakkam,IN,2020-02-24 01:25:37,13.22,80.32,79.0,88,40,2.24,mist
22,Souillac,MU,2020-02-24 01:19:15,-20.52,57.52,73.99,94,20,3.36,few clouds
23,Barrow,US,2020-02-24 01:19:00,71.29,-156.79,-23.8,74,1,13.87,clear sky
24,Vestmannaeyjar,IS,2020-02-24 01:18:20,63.44,-20.27,40.21,72,100,28.92,light snow
25,Kodiak,US,2020-02-24 01:19:55,57.79,-152.41,26.6,35,1,21.92,clear sky
26,Rikitea,PF,2020-02-24 01:19:29,-23.12,-134.97,79.97,69,0,9.17,light rain
27,La Ronge,CA,2020-02-24 01:25:38,55.1,-105.28,30.2,63,75,4.7,broken clouds
28,Albany,US,2020-02-24 01:19:27,42.6,-73.97,37.4,55,20,3.04,few clouds
29,Arraial Do Cabo,BR,2020-02-24 01:19:47,-22.97,-42.03,75.9,68,100,8.68,overcast clouds
30,Tignere,CM,2020-02-24 01:25:39,7.37,12.65,67.87,18,0,1.07,clear sky
31,Bluff,NZ,2020-02-24 01:19:40,-46.6,168.33,65.21,53,71,4.92,broken clouds
32,Atar,MR,2020-02-24 01:19:53,20.52,-13.05,82.81,15,100,10.38,overcast clouds
33,Datong,CN,2020-02-24 01:25:40,40.09,113.29,33.89,44,100,2.62,overcast clouds
34,Mar Del Plata,AR,2020-02-24 01:16:37,-38.0,-57.56,68.0,77,0,6.93,clear sky
35,Cabo San Lucas,MX,2020-02-24 01:17:50,22.89,-109.91,73.0,77,40,8.05,scattered clouds
36,Palmer,US,2020-02-24 01:20:34,42.16,-72.33,42.01,63,20,4.41,few clouds
37,Cape Town,ZA,2020-02-24 01:17:00,-33.93,18.42,64.0,59,0,18.34,clear sky
38,Carnarvon,AU,2020-02-24 01:18:54,-24.87,113.63,78.8,74,0,4.7,clear sky
39,Bilibino,RU,2020-02-24 01:19:54,68.05,166.44,-23.1,90,22,2.19,few clouds
40,Rabo De Peixe,PT,2020-02-24 01:25:41,37.8,-25.58,55.4,93,20,4.7,few clouds
41,Watsa,CD,2020-02-24 01:25:41,3.04,29.54,69.76,67,79,1.28,broken clouds
42,Kavaratti,IN,2020-02-24 01:25:42,10.57,72.64,81.23,73,100,4.05,overcast clouds
43,Meulaboh,ID,2020-02-24 01:21:06,4.14,96.13,80.67,77,1,7.63,clear sky
44,Kosonsoy,UZ,2020-02-24 01:25:42,41.26,71.55,46.4,87,90,2.46,light intensity shower rain
45,Luderitz,NA,2020-02-24 01:18:03,-26.65,15.16,69.21,63,0,16.44,clear sky
46,Buchanan,LR,2020-02-24 01:25:42,5.88,-10.05,77.0,94,20,3.69,few clouds
47,Necochea,AR,2020-02-24 01:18:45,-38.55,-58.74,68.31,50,0,9.33,clear sky
48,Bambous Virieux,MU,2020-02-24 01:19:30,-20.34,57.76,73.99,94,20,3.36,few clouds
49,Puerto Ayora,EC,2020-02-24 01:19:42,-0.74,-90.35,82.4,78,75,9.17,broken clouds
50,Ahmadpur East,PK,2020-02-24 01:25:43,29.14,71.26,67.71,44,0,6.67,clear sky
51,Aklavik,CA,2020-02-24 01:19:37,68.22,-135.01,-4.0,76,75,3.36,light snow
52,Lamar,US,2020-02-24 01:25:44,33.67,-95.58,55.99,100,90,13.87,light rain
53,Chokurdakh,RU,2020-02-24 01:19:49,70.63,147.92,-23.48,98,82,3.11,broken clouds
54,Coquimbo,CL,2020-02-24 01:19:01,-29.95,-71.34,60.8,82,75,8.05,broken clouds
55,Qaanaaq,GL,2020-02-24 01:19:34,77.48,-69.36,-19.1,61,0,5.77,clear sky
56,Hofn,IS,2020-02-24 01:25:45,64.25,-15.21,40.53,65,89,23.53,overcast clouds
57,Avarua,CK,2020-02-24 01:19:04,-21.21,-159.78,78.8,94,100,5.82,light rain
58,Los Llanos De Aridane,ES,2020-02-24 01:19:34,28.66,-17.92,71.6,64,90,9.17,haze
59,Sisimiut,GL,2020-02-24 01:20:06,66.94,-53.67,-3.91,87,98,1.72,overcast clouds
60,Biltine,TD,2020-02-24 01:17:30,14.53,20.92,64.17,22,0,9.6,clear sky
61,Batticaloa,LK,2020-02-24 01:25:45,7.71,81.69,72.19,94,99,1.34,light rain
62,Hermanus,ZA,2020-02-24 01:18:59,-34.42,19.23,62.01,76,0,10.0,clear sky
63,Rockland,US,2020-02-24 01:25:46,41.17,-74.05,48.2,55,1,3.36,clear sky
64,San Cristobal,VE,2020-02-24 01:17:42,7.77,-72.22,78.8,65,40,2.24,scattered clouds
65,Hobart,AU,2020-02-24 01:16:08,-42.88,147.33,71.01,59,75,4.7,broken clouds
66,Vanimo,PG,2020-02-24 01:19:11,-2.67,141.3,81.86,77,56,6.87,light rain
67,Chuy,UY,2020-02-24 01:17:04,-33.7,-53.46,65.3,71,11,10.89,few clouds
68,Ribeira Grande,PT,2020-02-24 01:19:29,38.52,-28.7,56.35,82,30,6.98,scattered clouds
69,Rosarito,MX,2020-02-24 01:25:47,32.33,-117.03,62.6,71,1,8.05,clear sky
70,Busselton,AU,2020-02-24 01:18:43,-33.65,115.33,71.01,74,63,4.0,broken clouds
71,Faanui,PF,2020-02-24 01:20:58,-16.48,-151.75,83.44,69,12,11.12,few clouds
72,Kruisfontein,ZA,2020-02-24 01:19:43,-34.0,24.73,54.3,83,0,3.42,clear sky
73,Punta Arenas,CL,2020-02-24 01:19:34,-53.15,-70.92,46.4,70,75,34.45,broken clouds
