City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather description,Rain,Snow
0,Jamestown,US,2020-02-24 08:36:54,42.1,-79.24,42.8,51,1,10.29,clear sky,0.0,0.0
1,Vao,NC,2020-02-24 08:39:37,-22.67,167.48,79.02,74,35,12.84,scattered clouds,0.0,0.0
2,Mbanza-Ngungu,CD,2020-02-24 08:39:37,-5.25,14.87,75.61,89,100,2.35,light rain,0.88,0.0
3,Mandalgovi,MN,2020-02-24 08:39:37,45.76,106.27,23.05,58,100,18.63,overcast clouds,0.0,0.0
4,Upernavik,GL,2020-02-24 08:39:38,72.79,-56.15,-21.44,92,22,1.28,few clouds,0.0,0.0
5,Ushuaia,AR,2020-02-24 08:39:38,-54.8,-68.3,41.0,86,90,16.11,light intensity drizzle,0.0,0.0
6,Avarua,CK,2020-02-24 08:39:38,-21.21,-159.78,77.0,100,100,3.36,overcast clouds,0.0,0.0
7,Tiksi,RU,2020-02-24 08:39:38,71.69,128.87,-4.22,87,99,7.92,overcast clouds,0.0,0.0
8,Inhambane,MZ,2020-02-24 08:39:38,-23.86,35.38,80.6,54,75,19.46,broken clouds,0.0,0.0
9,Guerrero Negro,MX,2020-02-24 08:39:39,27.98,-114.06,57.7,87,92,13.87,overcast clouds,0.0,0.0
10,Belaya Gora,RU,2020-02-24 08:39:39,68.53,146.42,-17.91,99,83,3.2,broken clouds,0.0,0.0
11,Dikson,RU,2020-02-24 08:39:39,73.51,80.55,25.38,90,100,28.39,light snow,0.0,0.13
12,Sao Filipe,CV,2020-02-24 08:39:39,14.9,-24.5,67.3,82,0,15.9,clear sky,0.0,0.0
13,Cape Town,ZA,2020-02-24 08:37:48,-33.93,18.42,78.01,43,0,10.29,clear sky,0.0,0.0
14,Ewa Beach,US,2020-02-24 08:39:40,21.32,-158.01,75.2,93,75,3.36,broken clouds,0.0,0.0
15,Busselton,AU,2020-02-24 08:39:40,-33.65,115.33,75.99,45,100,15.88,overcast clouds,0.0,0.0
16,Qaanaaq,GL,2020-02-24 08:39:40,77.48,-69.36,-14.13,49,0,5.39,clear sky,0.0,0.0
17,Cap Malheureux,MU,2020-02-24 08:39:40,-19.98,57.61,84.2,70,40,6.93,scattered clouds,0.0,0.0
18,Rikitea,PF,2020-02-24 08:39:40,-23.12,-134.97,79.21,72,0,7.92,light rain,0.44,0.0
19,Albany,US,2020-02-24 08:39:41,42.6,-73.97,33.01,92,75,3.36,broken clouds,0.0,0.0
20,Port Lincoln,AU,2020-02-24 08:39:41,-34.73,135.87,68.76,72,0,14.61,clear sky,0.0,0.0
21,Richards Bay,ZA,2020-02-24 08:39:41,-28.78,32.04,71.87,70,100,12.03,light rain,0.56,0.0
22,Hermanus,ZA,2020-02-24 08:39:41,-34.42,19.23,78.01,58,0,11.01,clear sky,0.0,0.0
23,Mogocha,RU,2020-02-24 08:39:42,53.73,119.77,17.47,86,0,5.28,clear sky,0.0,0.0
24,Portland,US,2020-02-24 08:34:45,45.52,-122.68,42.8,75,90,10.29,light rain,0.0,0.0
