,City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather description,Rain,Snow
0,0,Salalah,OM,2020-02-24 08:01:40,17.02,54.09,80.6,57,10,3.36,clear sky,0.0,0.0
1,1,Pangnirtung,CA,2020-02-24 08:01:40,66.15,-65.71,-30.26,97,100,2.17,overcast clouds,0.0,0.0
2,2,Bluff,NZ,2020-02-24 08:01:40,-46.6,168.33,63.0,62,100,4.0,overcast clouds,0.0,0.0
3,3,Bambous Virieux,MU,2020-02-24 08:01:41,-20.34,57.76,86.0,66,40,5.82,scattered clouds,0.0,0.0
4,4,Grand Gaube,MU,2020-02-24 08:01:41,-20.01,57.66,86.0,66,40,5.82,scattered clouds,0.0,0.0
5,5,Punta Arenas,CL,2020-02-24 08:00:00,-53.15,-70.92,46.4,65,40,27.51,scattered clouds,0.0,0.0
6,6,Dikson,RU,2020-02-24 08:01:41,73.51,80.55,25.38,90,100,28.39,light snow,0.0,0.13
7,7,Mataura,NZ,2020-02-24 08:01:41,-46.19,168.86,63.0,62,100,4.0,overcast clouds,0.0,0.0
8,8,Port Elizabeth,ZA,2020-02-24 08:00:10,-33.92,25.57,68.0,56,0,4.7,clear sky,0.0,0.0
9,9,Yellowknife,CA,2020-02-24 08:00:34,62.46,-114.35,-14.01,75,5,6.93,clear sky,0.0,0.0
10,10,Puerto Ayora,EC,2020-02-24 08:01:42,-0.74,-90.35,77.0,100,74,1.01,broken clouds,0.0,0.0
11,11,Irmo,US,2020-02-24 07:59:38,34.09,-81.18,50.0,46,90,3.36,overcast clouds,0.0,0.0
12,12,Egvekinot,RU,2020-02-24 08:01:42,66.32,-179.17,-23.8,90,0,2.21,clear sky,0.0,0.0
13,13,Georgetown,MY,2020-02-24 07:58:37,5.41,100.34,93.2,52,20,12.75,few clouds,0.0,0.0
14,14,Port Alfred,ZA,2020-02-24 08:01:43,-33.59,26.89,68.0,80,0,3.0,clear sky,0.0,0.0
15,15,Santa Maria,BR,2020-02-24 08:01:43,-29.68,-53.81,59.85,85,0,5.48,clear sky,0.0,0.0
16,16,Nikolskoye,RU,2020-02-24 08:01:43,59.7,30.79,37.0,83,90,13.42,overcast clouds,0.0,0.0
17,17,Bredasdorp,ZA,2020-02-24 08:01:43,-34.53,20.04,71.01,60,40,11.41,scattered clouds,0.0,0.0
18,18,Sungaipenuh,ID,2020-02-24 08:01:44,-2.08,101.38,74.46,73,68,4.18,light rain,1.5,0.0
19,19,Warrington,GB,2020-02-24 08:01:44,53.39,-2.58,48.0,100,90,18.34,moderate rain,0.0,0.0
20,20,Sitka,US,2020-02-24 08:01:44,57.05,-135.33,30.2,86,75,5.82,light snow,0.0,0.0
21,21,Hilo,US,2020-02-24 08:01:44,19.73,-155.09,71.6,78,20,3.36,few clouds,0.0,0.0
