City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Busselton,AU,2020-02-22 21:26:02,-33.65,115.33,66.99,68,5,10.8
1,Avarua,CK,2020-02-22 21:22:56,-21.21,-159.78,80.6,78,69,8.05
2,Floriano,BR,2020-02-22 21:27:21,-6.77,-43.02,82.38,77,51,1.72
3,Punta Arenas,CL,2020-02-22 21:22:25,-53.15,-70.92,69.8,46,100,25.28
4,Port Alfred,ZA,2020-02-22 21:23:43,-33.59,26.89,63.0,96,100,5.01
5,Georgetown,MY,2020-02-22 21:25:15,5.41,100.34,80.6,78,20,2.24
6,Rikitea,PF,2020-02-22 21:23:04,-23.12,-134.97,78.94,70,1,7.52
7,Bethel,US,2020-02-22 21:27:22,41.37,-73.41,50.0,20,1,8.05
8,Atasu,KZ,2020-02-22 21:27:22,48.68,71.64,11.14,94,100,6.89
9,Kapaa,US,2020-02-22 21:27:23,22.08,-159.32,78.8,65,20,6.93
10,Ancud,CL,2020-02-22 21:23:32,-41.87,-73.82,80.6,28,0,5.82
11,Lebu,CL,2020-02-22 21:26:23,-37.62,-73.65,66.42,62,15,5.06
12,Port Lincoln,AU,2020-02-22 21:27:23,-34.73,135.87,64.6,82,0,6.15
13,Vao,NC,2020-02-22 21:27:24,-22.67,167.48,79.23,73,0,10.69
14,Cape Town,ZA,2020-02-22 21:26:04,-33.93,18.42,66.99,77,20,24.16
15,Saint George,US,2020-02-22 21:24:44,37.1,-113.58,51.8,81,90,13.87
16,Albany,US,2020-02-22 21:26:06,42.6,-73.97,43.0,44,1,13.87
17,Ushuaia,AR,2020-02-22 21:25:04,-54.8,-68.3,69.8,52,75,9.17
18,Alice Springs,AU,2020-02-22 21:27:25,-23.7,133.88,60.8,31,0,2.24
19,Castro,BR,2020-02-22 21:23:33,-24.79,-50.01,70.52,75,34,5.53
20,Manicore,BR,2020-02-22 21:27:26,-5.81,-61.3,76.51,95,100,3.96
21,Omis,HR,2020-02-22 21:27:26,43.44,16.69,51.8,50,32,10.29
22,Torbay,CA,2020-02-22 21:26:11,47.67,-52.73,24.01,67,20,20.8
23,Mangrol,IN,2020-02-22 21:27:26,21.12,70.12,76.32,44,0,12.93
24,Codrington,AU,2020-02-22 21:27:26,-38.27,141.97,58.05,77,0,7.23
25,Sungai Besar,MY,2020-02-22 21:27:27,3.67,100.99,77.0,94,40,3.36
26,Uvat,RU,2020-02-22 21:27:27,59.14,68.9,7.23,96,2,4.92
27,Tsabong,BW,2020-02-22 21:27:27,-26.02,22.4,78.78,57,98,4.34
28,Carnarvon,AU,2020-02-22 21:23:26,-24.87,113.63,75.2,83,40,5.82
29,Tasiilaq,GL,2020-02-22 21:27:27,65.61,-37.64,15.8,66,100,2.24
30,Kariba,ZW,2020-02-22 21:27:28,-16.52,28.8,72.88,91,92,3.69
31,Hilo,US,2020-02-22 21:26:02,19.73,-155.09,80.6,54,20,6.93
32,Nemuro,JP,2020-02-22 21:27:28,43.32,145.57,32.99,77,1,24.58
33,Kaitangata,NZ,2020-02-22 21:26:14,-46.28,169.85,60.01,63,66,17.0
34,Atuona,PF,2020-02-22 21:27:28,-9.8,-139.03,81.86,76,0,13.73
35,Ossora,RU,2020-02-22 21:27:29,59.24,163.07,-9.67,80,9,1.63
